product_id,product_name,category_name,brand,unit_price,cost_price,weight,color,size,stock_quantity,reorder_level,is_active,launch_date
39,Target Vision-oriented multi-tasking alliance Home & Garden,Home & Garden,Target,5.0,2.47,2.49,White,S,698,11,True,2025-04-26
40,Sony Secured tangible process improvement Electronic,Electronics,Sony,335.96,160.16,2.88,Brown,XL,400,49,True,2024-06-23
41,Puma Team-oriented methodical application Sport,Sports,Puma,140.77,64.11,0.92,Green,M,769,32,True,2025-07-12
42,Zara Optional dedicated data-warehouse Clothing,Clothing,Zara,64.37,26.69,6.76,Red,XL,909,12,True,2024-05-28
43,Oxford Realigned eco-centric parallelism Book,Books,Oxford,8.99,4.22,1.84,Green,L,432,25,True,2024-10-27
44,Oxford Organic tertiary workforce Book,Books,Oxford,19.84,11.32,5.22,Black,XXL,90,45,True,2024-05-13
45,Dell Advanced grid-enabled application Electronic,Electronics,Dell,395.92,245.12,5.04,Gray,XL,177,37,True,2023-12-31
46,Puma Multi-channeled actuating definition Sport,Sports,Puma,234.63,150.73,4.28,Green,S,871,13,True,2025-05-12
47,IKEA Multi-tiered 3rdgeneration project Home & Garden,Home & Garden,IKEA,168.37,99.73,4.86,Blue,M,932,43,True,2025-04-15
48,Home Depot User-friendly 6thgeneration info-mediaries Home & Garden,Home & Garden,Home Depot,71.5,41.34,3.23,White,M,478,29,True,2023-10-28
49,Cambridge Fully-configurable secondary secured line Book,Books,Cambridge,41.87,22.08,1.63,Blue,One Size,727,16,True,2024-04-07
50,Dell Persistent intangible hierarchy Electronic,Electronics,Dell,238.79,159.02,1.83,Blue,XXL,189,26,True,2025-07-05
51,Wiley Open-source eco-centric throughput Book,Books,Wiley,37.74,19.66,1.25,Black,M,805,21,True,2024-07-04
52,Penguin Synergized leadingedge artificial intelligence Book,Books,Penguin,20.58,11.3,2.0,Blue,One Size,813,10,True,2025-03-04
53,Dell Assimilated full-range hierarchy Electronic,Electronics,Dell,362.16,179.98,1.19,Brown,XS,684,39,True,2025-05-27
54,Uniqlo Optional 24/7 access Clothing,Clothing,Uniqlo,42.81,19.39,2.92,White,XS,64,30,False,2025-06-05
55,H&M Profit-focused bandwidth-monitored flexibility Clothing,Clothing,H&M,95.78,53.28,3.09,Green,XL,503,26,True,2024-03-09
56,Sephora Phased intangible Graphic Interface Beauty,Beauty,Sephora,7.58,3.36,0.88,Gray,XXL,853,42,True,2023-10-12
57,Under Armour Advanced dedicated concept Sport,Sports,Under Armour,149.65,82.25,2.47,Red,XL,652,17,True,2024-10-22
58,Maybelline Devolved 4thgeneration core Beauty,Beauty,Maybelline,54.59,29.14,2.01,Gray,XXL,561,48,False,2025-03-10
59,H&M Fundamental human-resource pricing structure Clothing,Clothing,H&M,37.9,23.32,5.18,Red,S,953,21,True,2023-10-03
60,Wiley Open-source tertiary extranet Book,Books,Wiley,29.89,16.56,1.6,Blue,L,63,25,False,2025-07-19
61,Uniqlo Persistent regional website Clothing,Clothing,Uniqlo,103.74,50.37,4.82,Red,L,717,46,True,2023-12-23
62,Penguin Decentralized systematic intranet Book,Books,Penguin,19.49,11.54,3.15,Gray,L,749,17,False,2024-02-04
63,Penguin Up-sized coherent system engine Book,Books,Penguin,31.52,18.5,1.89,Blue,XL,302,10,True,2025-03-29
64,Apple Team-oriented zero administration pricing structure Electronic,Electronics,Apple,331.41,184.61,4.22,Red,L,183,47,True,2025-07-17
65,Uniqlo Profit-focused encompassing encryption Clothing,Clothing,Uniqlo,71.54,45.64,4.16,Blue,XXL,375,37,True,2024-05-03
66,Sony Secured disintermediate budgetary management Electronic,Electronics,Sony,269.33,175.28,7.29,Black,S,233,35,True,2024-05-03
67,LG Centralized grid-enabled support Electronic,Electronics,LG,655.83,315.92,5.39,Brown,XS,750,27,True,2024-06-24
68,Dell Fundamental bottom-line matrix Electronic,Electronics,Dell,422.96,268.86,1.79,Green,One Size,100,37,True,2024-09-07
69,Cambridge Realigned dynamic protocol Book,Books,Cambridge,32.94,18.94,0.98,Green,M,66,47,True,2024-05-26
70,Dell Seamless logistical monitoring Electronic,Electronics,Dell,117.69,74.73,1.38,Brown,S,861,40,True,2024-08-24
71,Adidas Multi-layered well-modulated attitude Clothing,Clothing,Adidas,127.18,60.09,2.06,Blue,XS,701,26,True,2025-08-01
72,Home Depot Profit-focused asynchronous paradigm Home & Garden,Home & Garden,Home Depot,66.03,37.73,5.07,Black,XXL,864,49,True,2025-06-29
73,Dell Enterprise-wide foreground solution Electronic,Electronics,Dell,189.15,109.36,3.62,Blue,M,499,34,True,2023-09-19
74,L'Oreal Multi-layered logistical project Beauty,Beauty,L'Oreal,43.97,24.23,2.1,Green,XS,964,15,True,2023-10-02
75,L'Oreal Ameliorated eco-centric knowledgebase Beauty,Beauty,L'Oreal,61.39,35.4,4.16,White,L,189,40,False,2025-08-03
76,Target Focused tertiary forecast Home & Garden,Home & Garden,Target,111.92,64.8,1.79,Green,S,679,42,True,2025-07-05
77,Cambridge Front-line system-worthy adapter Book,Books,Cambridge,48.46,27.68,2.44,White,XS,196,27,True,2025-03-22
78,Wayfair Proactive static monitoring Home & Garden,Home & Garden,Wayfair,134.9,84.83,5.58,Brown,S,538,21,False,2024-12-19
79,Nike Team-oriented intermediate success Clothing,Clothing,Nike,123.82,74.91,1.35,Black,M,689,13,True,2025-02-02
80,Wayfair Operative didactic solution Home & Garden,Home & Garden,Wayfair,125.38,73.11,1.88,Brown,M,466,10,False,2024-05-01
81,Sephora Diverse local emulation Beauty,Beauty,Sephora,111.84,58.41,4.64,Brown,S,26,33,True,2025-07-12
82,Nike Organic zero tolerance product Clothing,Clothing,Nike,79.5,54.2,4.1,Green,XS,652,34,True,2024-04-28
83,Apple Advanced maximized productivity Electronic,Electronics,Apple,244.88,102.92,1.09,Blue,L,927,27,True,2024-09-28
84,IKEA Universal secondary moderator Home & Garden,Home & Garden,IKEA,66.71,41.4,5.51,Gray,One Size,840,40,True,2023-11-19
85,LG Inverse value-added capability Electronic,Electronics,LG,523.94,305.28,2.71,Red,XXL,991,47,True,2025-04-23
86,Adidas Customer-focused content-based throughput Clothing,Clothing,Adidas,62.07,38.13,6.37,Gray,L,503,43,True,2024-12-07
87,H&M Phased mission-critical concept Clothing,Clothing,H&M,168.49,82.85,3.54,Gray,M,829,46,True,2024-03-19
88,Penguin Universal non-volatile standardization Book,Books,Penguin,33.27,15.44,1.6,Green,XXL,97,23,True,2025-05-09
89,Penguin Right-sized background monitoring Book,Books,Penguin,7.0,4.31,2.1,Blue,L,373,40,True,2024-06-18
90,Samsung Stand-alone disintermediate artificial intelligence Electronic,Electronics,Samsung,5.0,2.11,2.25,Blue,XXL,349,45,True,2024-10-07
91,Zara Realigned motivating Graphic Interface Clothing,Clothing,Zara,101.41,70.56,2.47,Blue,S,831,18,True,2025-03-08
92,IKEA Self-enabling zero-defect time-frame Home & Garden,Home & Garden,IKEA,45.94,30.1,2.09,Gray,XS,138,35,True,2024-05-31
93,Nike De-engineered clear-thinking infrastructure Sport,Sports,Nike,5.0,3.09,2.37,Black,XXL,338,17,True,2023-12-15
94,Samsung Persevering logistical infrastructure Electronic,Electronics,Samsung,234.95,97.16,2.43,White,L,798,22,True,2024-12-14
95,Puma Persevering exuding secured line Sport,Sports,Puma,301.07,202.12,2.8,White,XXL,910,33,True,2023-12-26
96,Wayfair Persevering composite superstructure Home & Garden,Home & Garden,Wayfair,131.87,88.05,2.18,Green,M,11,30,True,2024-11-22
97,Random House Re-contextualized object-oriented open system Book,Books,Random House,16.57,6.85,5.2,Blue,XXL,580,31,True,2025-04-09
98,Under Armour Pre-emptive holistic core Sport,Sports,Under Armour,121.93,59.0,3.32,White,XXL,806,42,True,2025-07-20
99,L'Oreal Quality-focused even-keeled workforce Beauty,Beauty,L'Oreal,76.78,49.28,5.67,Green,M,855,23,True,2025-08-02
100,Walmart Function-based multi-state toolset Home & Garden,Home & Garden,Walmart,88.91,46.32,5.08,Green,M,364,20,True,2025-01-29
101,Adidas Right-sized scalable protocol Clothing,Clothing,Adidas,99.25,40.2,3.56,Gray,L,516,33,True,2023-10-23
102,LG Vision-oriented analyzing array Electronic,Electronics,LG,363.98,212.3,7.01,Brown,XL,565,49,True,2025-04-05
103,Nike Monitored zero-defect definition Clothing,Clothing,Nike,154.81,79.8,3.88,White,XXL,852,23,True,2024-03-17
104,H&M Function-based asymmetric focus group Clothing,Clothing,H&M,45.76,24.96,2.77,Green,XXL,528,44,True,2024-01-04
105,Under Armour Focused object-oriented superstructure Sport,Sports,Under Armour,135.91,78.71,1.53,Blue,M,648,35,True,2023-11-14
106,Dell Profit-focused even-keeled adapter Electronic,Electronics,Dell,685.96,459.49,0.99,Blue,S,264,11,True,2024-06-04
107,Zara Versatile zero-defect time-frame Clothing,Clothing,Zara,88.66,59.62,2.05,Gray,L,330,37,True,2025-07-15
108,Adidas Networked maximized focus group Clothing,Clothing,Adidas,63.08,37.95,2.24,Gray,One Size,46,46,True,2024-08-15
109,Nike Proactive heuristic Internet solution Clothing,Clothing,Nike,111.7,55.52,2.29,Blue,One Size,399,38,True,2024-11-26
110,Penguin Virtual leadingedge array Book,Books,Penguin,7.53,4.83,2.08,Brown,One Size,978,41,True,2024-01-14
111,Uniqlo Multi-tiered radical methodology Clothing,Clothing,Uniqlo,60.89,41.33,2.42,Green,One Size,723,29,True,2023-09-04
112,Uniqlo Phased disintermediate productivity Clothing,Clothing,Uniqlo,28.24,18.97,2.29,White,S,504,20,True,2025-01-19
113,Cambridge Virtual homogeneous challenge Book,Books,Cambridge,46.42,30.05,2.27,Green,One Size,307,34,True,2025-02-27
114,LG Compatible eco-centric implementation Electronic,Electronics,LG,219.51,111.65,3.69,Black,XXL,13,33,True,2024-05-03
115,Wayfair Expanded contextually-based portal Home & Garden,Home & Garden,Wayfair,167.08,104.37,3.64,Red,XL,818,28,True,2024-01-25
116,Under Armour Programmable scalable circuit Sport,Sports,Under Armour,33.37,16.83,3.54,Green,One Size,617,45,True,2024-01-18
117,LG Total zero tolerance workforce Electronic,Electronics,LG,5.0,2.34,5.03,Brown,XXL,27,32,True,2024-10-11
118,Zara Intuitive transitional project Clothing,Clothing,Zara,70.88,45.79,3.0,Brown,XS,566,45,True,2025-04-25
119,Walmart Focused bottom-line Graphical User Interface Home & Garden,Home & Garden,Walmart,5.0,3.22,1.55,Blue,L,31,32,True,2023-09-24
120,Dell Switchable real-time open system Electronic,Electronics,Dell,210.88,120.93,3.79,Black,One Size,311,40,True,2023-12-14
121,Oxford Streamlined transitional array Book,Books,Oxford,22.34,15.51,1.86,Blue,XL,738,14,True,2024-01-25
122,Reebok Persevering asynchronous Graphic Interface Sport,Sports,Reebok,24.41,14.56,1.63,White,S,383,29,True,2024-09-05
123,Nike Extended national firmware Clothing,Clothing,Nike,38.67,22.9,1.49,Gray,L,467,41,False,2024-05-29
124,Uniqlo Seamless multi-tasking adapter Clothing,Clothing,Uniqlo,137.74,58.24,2.17,Gray,XXL,657,17,True,2024-05-08
125,Cambridge Function-based solution-oriented circuit Book,Books,Cambridge,21.57,9.15,1.21,Green,S,275,47,False,2025-04-10
126,LG Virtual reciprocal productivity Electronic,Electronics,LG,5.0,3.21,1.69,Red,XS,810,45,True,2024-12-18
127,Nike Universal 3rdgeneration strategy Sport,Sports,Nike,114.16,66.28,2.88,Gray,XL,171,45,True,2024-04-03
128,Sephora Business-focused real-time Graphical User Interface Beauty,Beauty,Sephora,38.74,20.32,4.38,Black,L,203,44,True,2023-10-12
129,Reebok Stand-alone responsive budgetary management Sport,Sports,Reebok,134.23,77.33,2.99,Gray,S,763,17,True,2025-05-27
130,Zara Secured even-keeled definition Clothing,Clothing,Zara,78.56,34.89,2.27,Red,M,867,11,True,2024-06-08
131,Sephora Enterprise-wide intangible info-mediaries Beauty,Beauty,Sephora,53.64,25.42,2.11,Gray,L,198,19,True,2025-05-15
132,IKEA Self-enabling full-range knowledge user Home & Garden,Home & Garden,IKEA,95.3,65.35,4.25,Brown,XL,140,27,True,2025-02-22
133,Dell Visionary methodical forecast Electronic,Electronics,Dell,283.81,195.73,5.46,Blue,S,113,10,True,2024-04-14
134,Home Depot Triple-buffered bi-directional software Home & Garden,Home & Garden,Home Depot,41.55,22.97,1.84,Black,One Size,59,25,True,2024-05-09
135,Nike Reduced optimal throughput Sport,Sports,Nike,5.0,2.23,2.3,Black,XL,930,28,True,2024-04-05
136,Oxford Centralized multimedia database Book,Books,Oxford,34.93,20.97,1.85,Black,XXL,879,35,True,2024-02-13
137,Maybelline Open-source context-sensitive function Beauty,Beauty,Maybelline,67.56,45.33,5.02,Red,XL,229,41,True,2024-09-24
138,Penguin Polarized modular open system Book,Books,Penguin,5.0,2.79,2.86,White,One Size,830,24,True,2024-05-16
139,Ulta Total 24/7 info-mediaries Beauty,Beauty,Ulta,110.25,45.98,7.14,Green,S,477,31,True,2025-02-15
140,L'Oreal Virtual non-volatile alliance Beauty,Beauty,L'Oreal,76.79,30.89,1.44,Gray,One Size,675,45,True,2023-10-21
141,Home Depot Phased clear-thinking hardware Home & Garden,Home & Garden,Home Depot,31.76,15.3,1.18,Green,XS,388,47,True,2023-12-26
142,Nike Cross-group interactive complexity Clothing,Clothing,Nike,62.33,40.45,3.03,Blue,XL,323,27,False,2024-11-12
143,Zara Innovative empowering capacity Clothing,Clothing,Zara,100.32,50.27,6.64,Green,XXL,717,45,True,2023-09-03
144,Under Armour Configurable 6thgeneration firmware Sport,Sports,Under Armour,121.44,54.82,1.35,Blue,XL,84,47,True,2023-11-20
145,Zara Virtual 4thgeneration initiative Clothing,Clothing,Zara,150.38,83.08,3.72,Red,S,509,21,False,2023-10-01
146,Uniqlo Customizable zero-defect software Clothing,Clothing,Uniqlo,73.05,40.87,3.08,Red,S,602,39,True,2025-06-08
147,Reebok Compatible national Graphic Interface Sport,Sports,Reebok,131.43,83.27,3.17,Red,S,661,42,True,2024-01-14
148,H&M Ergonomic coherent synergy Clothing,Clothing,H&M,56.27,23.24,4.16,Gray,S,908,15,True,2024-08-14
149,Target Extended real-time benchmark Home & Garden,Home & Garden,Target,116.44,50.91,3.84,White,L,146,18,True,2024-02-02
150,Cambridge Re-contextualized human-resource concept Book,Books,Cambridge,31.58,16.01,2.56,Gray,L,910,28,False,2024-05-05
151,Uniqlo Front-line modular application Clothing,Clothing,Uniqlo,54.25,26.25,1.26,Red,XS,516,20,True,2023-12-07
152,Maybelline Enhanced well-modulated Graphical User Interface Beauty,Beauty,Maybelline,37.07,19.19,4.67,Black,XS,167,30,True,2023-12-14
153,Target Monitored scalable emulation Home & Garden,Home & Garden,Target,157.57,64.19,3.61,Gray,XL,155,13,True,2024-07-02
154,Oxford Synergistic multimedia hub Book,Books,Oxford,31.46,20.8,2.91,Brown,XXL,593,23,True,2024-03-01
155,Nike Triple-buffered 3rdgeneration circuit Sport,Sports,Nike,204.63,105.01,3.69,Blue,XS,113,30,True,2024-04-02
156,Dell Front-line bi-directional standardization Electronic,Electronics,Dell,268.49,152.89,2.02,Brown,XL,80,14,True,2025-08-01
157,Dell Cross-group neutral structure Electronic,Electronics,Dell,445.38,305.03,2.04,Brown,XL,313,41,True,2024-09-11
158,Samsung Innovative actuating portal Electronic,Electronics,Samsung,715.18,322.26,2.36,White,L,599,43,True,2024-03-08
159,Home Depot Ergonomic 4thgeneration solution Home & Garden,Home & Garden,Home Depot,72.31,48.52,2.52,Gray,One Size,27,38,True,2024-05-06
160,Target Multi-layered zero-defect methodology Home & Garden,Home & Garden,Target,60.69,26.85,3.19,White,L,814,20,True,2025-07-07
161,LG Reverse-engineered system-worthy website Electronic,Electronics,LG,307.85,204.68,1.64,Red,XXL,481,13,True,2024-03-29
162,Nike Organic encompassing structure Clothing,Clothing,Nike,48.97,19.77,3.11,White,S,832,14,True,2025-04-02
163,Puma Multi-tiered homogeneous emulation Sport,Sports,Puma,277.2,171.23,2.36,Gray,XL,704,37,False,2024-03-11
164,Nike Re-engineered multi-tasking definition Sport,Sports,Nike,40.29,22.45,0.94,Red,L,699,43,True,2024-07-02
165,Dell Implemented optimal data-warehouse Electronic,Electronics,Dell,360.33,187.88,3.74,Green,S,348,44,True,2025-04-24
166,Reebok User-friendly systemic structure Sport,Sports,Reebok,95.65,38.95,3.4,White,S,215,25,True,2025-05-12
167,IKEA Configurable zero tolerance benchmark Home & Garden,Home & Garden,IKEA,229.29,149.73,2.65,Green,XS,634,34,True,2023-10-04
168,Apple Persistent encompassing array Electronic,Electronics,Apple,331.98,170.38,3.8,Gray,M,598,25,True,2025-07-19
169,Uniqlo Inverse user-facing portal Clothing,Clothing,Uniqlo,100.03,55.57,2.57,Brown,L,467,23,True,2024-12-30
170,Adidas Triple-buffered zero tolerance Internet solution Clothing,Clothing,Adidas,33.99,22.04,6.19,Black,XL,363,12,True,2024-10-31
171,Sony Progressive dedicated parallelism Electronic,Electronics,Sony,382.34,218.38,4.69,Green,S,186,33,True,2023-10-25
172,Puma Robust human-resource budgetary management Sport,Sports,Puma,211.86,135.17,2.63,Gray,L,14,26,True,2024-07-27
173,Home Depot Configurable secondary projection Home & Garden,Home & Garden,Home Depot,12.14,7.57,2.6,Gray,M,345,37,True,2024-12-18
174,H&M Customizable modular throughput Clothing,Clothing,H&M,137.24,88.57,7.67,Green,L,598,45,False,2023-09-28
175,Adidas Persevering methodical initiative Clothing,Clothing,Adidas,57.68,30.29,3.7,Gray,XL,377,40,True,2024-06-02
176,Reebok Profit-focused next generation leverage Sport,Sports,Reebok,101.99,70.69,3.18,Red,M,161,27,True,2025-01-02
177,Samsung Mandatory fresh-thinking workforce Electronic,Electronics,Samsung,161.24,90.15,1.65,Brown,S,218,43,True,2025-03-12
178,Dell Enhanced dynamic open system Electronic,Electronics,Dell,5.0,2.65,1.68,Green,S,759,11,True,2025-04-09
179,Home Depot Profound tertiary portal Home & Garden,Home & Garden,Home Depot,108.61,48.15,1.75,Black,M,520,41,True,2025-01-19
180,Puma Reactive content-based Internet solution Sport,Sports,Puma,136.71,56.47,3.24,Gray,XXL,542,39,True,2025-03-17
181,Apple Quality-focused cohesive task-force Electronic,Electronics,Apple,502.04,329.99,3.97,Gray,XXL,133,26,True,2024-07-08
182,Dell Fundamental clear-thinking architecture Electronic,Electronics,Dell,368.8,210.69,3.22,Black,XXL,216,33,True,2024-10-13
183,Penguin Operative global process improvement Book,Books,Penguin,49.14,24.87,2.32,Blue,S,648,48,True,2024-04-02
184,Penguin Reactive dynamic installation Book,Books,Penguin,5.09,2.61,1.41,Gray,M,191,10,True,2025-07-21
185,Walmart Multi-lateral executive analyzer Home & Garden,Home & Garden,Walmart,86.38,46.33,4.61,Red,XXL,998,16,True,2024-02-05
186,Reebok Balanced 6thgeneration leverage Sport,Sports,Reebok,167.54,107.61,1.59,White,One Size,684,22,True,2025-01-20
187,Sony Cloned full-range portal Electronic,Electronics,Sony,5.0,3.32,5.54,White,XS,166,15,True,2025-02-15
188,Wayfair Multi-channeled 5thgeneration superstructure Home & Garden,Home & Garden,Wayfair,12.61,7.2,3.26,Blue,One Size,718,39,True,2025-04-30
189,Maybelline Team-oriented incremental standardization Beauty,Beauty,Maybelline,34.07,17.98,1.71,Blue,M,368,28,False,2024-07-28
190,Nike Multi-tiered responsive project Sport,Sports,Nike,136.39,74.56,1.05,Red,XXL,148,37,False,2023-11-03
191,Wiley Reverse-engineered client-driven neural-net Book,Books,Wiley,32.19,19.7,1.5,Black,L,751,40,False,2025-01-24
192,IKEA Re-contextualized bifurcated adapter Home & Garden,Home & Garden,IKEA,87.19,42.5,2.02,Black,L,803,48,True,2024-11-07
193,Home Depot Total explicit initiative Home & Garden,Home & Garden,Home Depot,46.71,21.0,1.69,Black,L,22,47,False,2024-04-11
194,Dell Decentralized heuristic adapter Electronic,Electronics,Dell,322.07,160.63,2.63,Red,XL,628,41,True,2024-08-08
195,Apple Function-based intermediate firmware Electronic,Electronics,Apple,231.15,130.03,1.2,Black,One Size,653,46,True,2024-03-23
196,Zara Phased national hardware Clothing,Clothing,Zara,108.07,62.58,2.32,Black,S,987,21,True,2023-11-09
197,Adidas Implemented uniform structure Clothing,Clothing,Adidas,97.03,39.89,3.23,Red,XXL,659,27,True,2024-12-27
198,Samsung Right-sized web-enabled open system Electronic,Electronics,Samsung,561.91,367.47,2.1,Brown,L,429,33,True,2024-10-17
199,Target Proactive explicit workforce Home & Garden,Home & Garden,Target,123.41,68.22,1.43,Black,One Size,523,37,True,2024-02-16
200,Reebok Robust multi-tasking moratorium Sport,Sports,Reebok,175.57,70.57,1.6,Gray,S,887,44,True,2024-04-17
201,Sony Adaptive uniform workforce Electronic,Electronics,Sony,182.81,121.76,1.83,Red,S,294,13,True,2024-12-24
202,MAC Multi-layered coherent open architecture Beauty,Beauty,MAC,67.38,45.46,3.87,Blue,M,355,29,True,2025-02-12
203,Random House Programmable background data-warehouse Book,Books,Random House,53.78,29.23,6.99,Brown,XS,106,41,True,2025-01-21
204,Ulta Up-sized coherent core Beauty,Beauty,Ulta,45.71,22.84,3.49,Red,M,837,37,True,2025-08-06
205,Zara Proactive regional hierarchy Clothing,Clothing,Zara,31.97,21.54,2.24,Brown,S,86,10,True,2024-12-09
206,Target Virtual actuating complexity Home & Garden,Home & Garden,Target,200.05,97.51,2.08,Green,XL,267,26,True,2023-08-21
207,Zara Cross-platform motivating workforce Clothing,Clothing,Zara,67.18,45.95,1.3,Blue,XS,992,30,True,2023-10-06
208,Apple Multi-tiered motivating open architecture Electronic,Electronics,Apple,153.64,70.56,3.24,Blue,XL,141,35,True,2025-01-29
209,Random House Synchronized 24hour system engine Book,Books,Random House,18.25,8.12,0.9,Red,L,80,42,True,2023-10-27
210,Dell Advanced responsive synergy Electronic,Electronics,Dell,652.1,443.81,3.22,White,XS,295,39,False,2025-03-29
211,Nike Open-source responsive focus group Sport,Sports,Nike,78.53,47.87,3.71,Green,S,975,48,True,2023-12-27
212,Reebok Mandatory heuristic policy Sport,Sports,Reebok,5.0,3.45,2.22,Black,L,956,28,True,2023-12-13
213,Nike Enterprise-wide asynchronous circuit Sport,Sports,Nike,194.56,103.85,1.91,Brown,One Size,768,24,False,2025-04-08
214,Sony Secured executive parallelism Electronic,Electronics,Sony,288.84,194.77,3.39,White,S,528,22,True,2024-07-20
215,Samsung Enhanced well-modulated complexity Electronic,Electronics,Samsung,547.98,295.07,3.01,Gray,XXL,302,18,True,2024-11-08
216,H&M De-engineered object-oriented firmware Clothing,Clothing,H&M,121.86,70.66,5.38,Black,M,384,30,True,2024-06-17
217,Samsung Customizable fault-tolerant customer loyalty Electronic,Electronics,Samsung,5.0,3.45,1.94,Red,XL,35,41,True,2024-09-09
218,Uniqlo Stand-alone 24hour attitude Clothing,Clothing,Uniqlo,61.73,30.79,4.11,Red,XL,765,13,True,2024-07-31
219,MAC Face-to-face local groupware Beauty,Beauty,MAC,60.54,41.44,4.42,Black,M,851,19,True,2023-09-05
